id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality
CIE 3006,larθi: ucalθui: huracelsa,larθi: ucalθui: huracelsa,𐌋𐌀𐌓𐌈𐌉: 𐌖𐌂𐌀𐌋𐌈𐌖𐌉: 𐌇𐌖𐌓𐌀𐌂𐌄𐌋𐌔𐌀,larθi ucalθui huracelsa,,,,1.000,clean
CIE 3007,AMIAOIEHI9I A2E3+,PANA|UCIRINEI|TURTESA,,PANA UCIRINEI TURTESA,,,,1.000,clean
CIE 3008,9A:O9A:A9V:O,L9:UCRISLANE:ARN9AL:,,,,,,0.000,ocr_failed
CIE 3009,M9A9V+,L9:UCRISLANE:TUFNIAS:,,,,,,0.000,ocr_failed
CIE 2238,ITI:ΘI:ΘIRIV:ΘA,ITI:ΘI:ΘIRIV:ΘA,,ITI ΘI ΘIRIV ΘA,,,,1.000,clean
3157,trebo,trebo,𐌕𐌓𐌄𐌁𐌏,trebo,mr-titusarriustrebomrtitussson,,,1.000,clean
CIE 3016,AIV1:A1M9V:AIO9AJ MIMI91O:MVT2I,LAR9IA:UMRIA:PUIA|PESTUS:PEPRINIS,,,,,,0.000,ocr_failed
CIE 3017,𐌋𐌀𐌓𐌈𐌖𐌌𐌓𐌀𐌍𐌀𐌋𐌀𐌓𐌉𐌔𐌀𐌋𐌉𐌔𐌀,lar[θ] umrana larisalisa,𐌋𐌀𐌓[𐌈] 𐌖𐌌𐌓𐌀𐌍𐌀 𐌋𐌀𐌓𐌉𐌔𐌀𐌋𐌉𐌔𐌀,umrana larisalisa,,,,0.667,clean
CIE 3018,a) 𐌌𐌀𐌓𐌀𐌈𐌖𐌍𐌀𐌀𐌍𐌀𐌌𐌖𐌖𐌋𐌀 b) 𐌌𐌀𐌉,a) MARAΘUNAANAMVLA b) MAI,,MARAΘUNAANAMVLA MAI,,,,0.500,clean
CIE 3019,𐌉𐌍𐌕𐌖𐌀𐌋 𐌌𐌀𐌍𐌀𐌈𐌖𐌌 𐌅𐌋𐌄𐌈𐌖𐌌𐌖𐌍𐌉,INTVAL MANAΘUM VLEΘUMUNI,,INTVAL MANAΘUM VLEΘUMUNI,,,,1.000,clean
CIE 3020,𐌀𐌔𐌊𐌉𐌋𐌉𐌔𐌀𐌈𐌖𐌍𐌀𐌈𐌖𐌍𐌀𐌈𐌖𐌍𐌀𐌈𐌖𐌍𐌀,hastia: umranei: arn𐌈sa,𐌇𐌀𐌔𐌕𐌉𐌀: 𐌖𐌌𐌓𐌀𐌍𐌄𐌉: 𐌀𐌓𐌍𐌈𐌔𐌀,hastia umranei arn𐌈sa,,,,1.000,clean
CIE 3021,M.VMBRICIVS·C·L·MENOMA,M.VMBRICIVS·C·L·MENOMA,,M.VMBRICIVS C L MENOMA,,,,1.000,clean
CIE 3023,𐌀𐌐𐌉𐌀𐌍𐌖𐌀𐌈·𐌀𐌈·𐌀𐌍𐌖·𐌏𐌀 𐌌𐌍·𐌏𐌕𐌀𐌊𐌉𐌋𐌉𐌖𐌔·𐌓𐌖𐌘𐌖𐌔·𐌅𐌀𐌓𐌉𐌀·𐌍𐌀𐌕𐌖𐌔,AP𐌉𐌀𐌍𐌖𐌀𐌈·A𐌈·A𐌍𐌖·𐌏𐌀 M𐌍·OTACILIVS·RVFVS·VARIA·NATVS,,AP𐌉𐌀𐌍𐌖𐌀𐌈 A𐌈 A𐌍𐌖 𐌏𐌀 M𐌍 OTACILIVS RVFVS VARIA NATVS,,,,1.000,clean
CIE 3024,𐌏𐌋·𐌀𐌈𐌀𐌍𐌖·𐌏𐌋 ·𐌌𐌀𐌉𐌍𐌄𐌈𐌖𐌌,O𐌋·A𐌈A𐌍𐌖·O𐌋 ·MAI𐌍𐌄𐌈𐌖𐌌,,O𐌋 A𐌈A𐌍𐌖 O𐌋 MAI𐌍𐌄𐌈𐌖𐌌,,,,1.000,clean
CIE 2593,𐌋𐌈:𐌐𐌓𐌄𐌒𐌖:𐌋𐌈:𐌕𐌉𐌕𐌉𐌀𐌋,lθ:prequ:lθ:titial:,𐌋𐌈:𐌐𐌓𐌄𐌒𐌖:𐌋𐌈:𐌕𐌉𐌕𐌉𐌀𐌋:,lθ prequ lθ titial,,,,1.000,clean
8332,mecio a(vloi) (f(ileo)),mecio a(vloi) (f(ileo)),𐌌𐌄𐌂𐌉𐌏 𐌀(𐌅𐌋𐌏𐌉) (𐌚(𐌉𐌋𐌄𐌏)),mecio,for-mr-caiosmeciosmr-aulossson,,,0.333,clean
CIE 3025,𐌀𐌔𐌈𐌖𐌍𐌀𐌈𐌖𐌍𐌀,unai alcesa,𐌖𐌍𐌀𐌉 𐌀𐌋𐌂𐌄𐌔𐌀,unai alcesa,,,,1.000,clean
ETP 65,hetaθaσa,hetaθaσa,𐌇𐌄𐌕𐌀𐌈𐌀𐌑𐌀,hetaθaσa,,625.0,600.0,1.000,clean
CIE 1921,cainei precunia,cainei precunia,𐌂𐌀𐌉𐌍𐌄𐌉 𐌐𐌓𐌄𐌂𐌖𐌍𐌉𐌀,cainei precunia,,,,1.000,clean
CIE 1922,aule cae | raufe pumpanal,aule cae | raufe pumpanal,𐌀𐌖𐌋𐌄 𐌂𐌀𐌄 | 𐌓𐌀𐌖𐌚𐌄 𐌐𐌖𐌌𐌐𐌀𐌍𐌀𐌋,aule cae raufe pumpanal,,,,1.000,clean
CIE 1923,θania : cainei | pumpnei | tecumnal,θania : cainei | pumpnei | tecumnal,𐌈𐌀𐌍𐌉𐌀 : 𐌂𐌀𐌉𐌍𐌄𐌉 | 𐌐𐌖𐌌𐌐𐌍𐌄𐌉 | 𐌕𐌄𐌂𐌖𐌌𐌍𐌀𐌋,θania cainei pumpnei tecumnal,,,,1.000,clean
CIE 1924,arniθ : cae : pestiu : aul : cainal :,arniθ : cae : pestiu : aul : cainal :,𐌀𐌓𐌍𐌉𐌈 : 𐌂𐌀𐌄 : 𐌐𐌄𐌔𐌕𐌉𐌖 : 𐌀𐌖𐌋 : 𐌂𐌀𐌉𐌍𐌀𐌋 :,arniθ cae pestiu aul cainal,,,,1.000,clean
CIE 1925,caia : restumnei | anes,caia : restumnei | anes,𐌂𐌀𐌉𐌀 : 𐌓𐌄𐌔𐌕𐌖𐌌𐌍𐌄𐌉 | 𐌀𐌍𐌄𐌔,caia restumnei anes,,,,1.000,clean
CIE 1946,𐌅𐌋:𐌂𐌀𐌍𐌇𐌍𐌀:𐌅𐌋:𐌅𐌄𐌕𐌍𐌀𐌋,vl: canzna: vl: vetnal,𐌅𐌋: 𐌂𐌀𐌍𐌆𐌍𐌀: 𐌅𐌋: 𐌅𐌄𐌕𐌍𐌀𐌋,vl canzna vl vetnal,,,,1.000,clean
CIE 3030,vel:upus:larθal,vel:upus:larθal,𐌅𐌄𐌋:𐌖𐌐𐌖𐌔:𐌋𐌀𐌓𐌈𐌀𐌋,vel upus larθal,,,,1.000,clean
CIE 3031,vl:urata:vl:ucumenaθ,vl:urata:vl:ucumenaθ,𐌅𐌋:𐌖𐌓𐌀𐌕𐌀:𐌅𐌋:𐌖𐌂𐌖𐌌𐌄𐌍𐌀𐌈,vl urata vl ucumenaθ,,,,1.000,clean
CIE 3032a,larθi:uri:θinei,larθi:uri:θinei,𐌋𐌀𐌓𐌈𐌉:𐌖𐌓𐌉:𐌈𐌉𐌍𐌄𐌉,larθi uri θinei,,,,1.000,clean
CIE 3032b,larθi:uri:θinei,larθi:uri:θinei,𐌋𐌀𐌓𐌈𐌉:𐌖𐌓𐌉:𐌈𐌉𐌍𐌄𐌉,larθi uri θinei,,,,1.000,clean
CIE 3033,au:ursmini:aplunias:cecus,au:ursmini:aplunias:cecus,𐌀𐌖:𐌖𐌓𐌔𐌌𐌉𐌍𐌉:𐌀𐌐𐌋𐌖𐌍𐌉𐌀𐌔:𐌂𐌄𐌂𐌖𐌔,au ursmini aplunias cecus,,,,1.000,clean
CIE 3034,a...:sina:velaianal,a...:sina:velaianal,𐌀...:𐌔𐌉𐌍𐌀:𐌅𐌄𐌋𐌀𐌉𐌀𐌍𐌀𐌋,a... sina velaianal,,,,1.000,clean
CIE 3035,Larthia:Otanis,Larthia:Otanis,,Larthia Otanis,,,,1.000,clean
CIE 3036,Larthia Otanis,Larthia Otanis,,Larthia Otanis,,,,1.000,clean
CIE 3037,laziu:ugle:ietis,laziu:ugle:ietis,,laziu ugle ietis,,,,1.000,clean
CIE 3038,ar:fasntru:sinunias,ar:fasntru:sinunias,𐌀𐌓:𐌚𐌀𐌔𐌍𐌕𐌓𐌖:𐌔𐌉𐌍𐌖𐌍𐌉𐌀𐌔,ar fasntru sinunias,,,,1.000,clean
11171,fiuls,fiuls,𐌚𐌉𐌖𐌋𐌔,fiuls,,,,1.000,clean
CIE 3039,arnθ:feθiu:larisal,arnθ:feθiu:larisal,𐌀𐌓𐌍𐌈:𐌚𐌄𐌈𐌉𐌖:𐌋𐌀𐌓𐌉𐌔𐌀𐌋,arnθ feθiu larisal,,,,1.000,clean
CIE 3047,JAI9A:A9A9A:3:AISSAJ,JAI9A:A9A9A:3:AISSAJ,,,,,,0.000,ocr_failed
8333,t(itos) p(oplios) c(aii),t(itos) p(oplios) c(aii),𐌕(𐌉𐌕𐌏𐌔) 𐌐(𐌏𐌐𐌋𐌉𐌏𐌔) 𐌂(𐌀𐌉𐌉),,nnia,,,0.000,clean
CIE 3040,la[r]θ:fraun[i],la[r]θ:fraun[i],𐌋𐌀[𐌓]𐌈:𐌚𐌓𐌀𐌖𐌍[𐌉],,,,,0.000,clean
CIE 3041,las:fraucni:atinatial:,las:fraucni:atinatial:,𐌋𐌀𐌔:𐌚𐌓𐌀𐌖𐌂𐌍𐌉:𐌀𐌕𐌉𐌍𐌀𐌕𐌉𐌀𐌋:,las fraucni atinatial,,,,1.000,clean
CIE 3042,lθ:fraunei:tiitaea|atinatial,lθ:fraunei:tiitaea|atinatial,𐌋𐌈:𐌚𐌓𐌀𐌖𐌍𐌄𐌉:𐌕𐌉𐌉𐌕𐌀𐌄𐌀|𐌀𐌕𐌉𐌍𐌀𐌕𐌉𐌀𐌋,lθ fraunei tiitaea atinatial,,,,1.000,clean
CIE 3043,arnsa:frauni:murinal:,arnsa:frauni:murinal:,𐌀𐌓𐌍𐌔𐌀:𐌚𐌓𐌀𐌖𐌍𐌉:𐌌𐌖𐌓𐌉𐌍𐌀𐌋:,arnsa frauni murinal,,,,1.000,clean
CIE 3044,HAJ:JAITAIa 2:2 J:IMYA98:VA,HAJ:JAITAIa 2:2 J:IMYA98:VA,,,,,,0.000,ocr_failed
CIE 3045,:JAHO21OA:IMD9A9 8:OA,:JAHO21OA:IMD9A9 8:OA,,,,,,0.000,ocr_failed
CIE 3046,:JANOAI:IMD9A98:OA,:JANOAI:IMD9A98:OA,,,,,,0.000,ocr_failed
10134,r(am)th(as),r(am)θ(as),𐌓(𐌀𐌌)𐌈(𐌀𐌔),,,,,0.000,clean
CIE 1939,IVLSIHINIA:ASQA arni:calisni:velu,IVLSIHINIA:ASQA arni:calisni:velu,,IVLSIHINIA ASQA arni calisni velu,,,,1.000,clean
ETP 363,[---]xσxxxilax[---],[---]xσxxxilax[---],[---]𐌗𐌑𐌗𐌗𐌗𐌉𐌋𐌀𐌗[---],,,600.0,600.0,0.000,clean
CIE 1940,JAIDEO:SAM||||||||||| l|r:ca|mas:helial: JAIDEO:SAMAD:CJ,JAIDEO:SAM||||||||||| l|r:ca|mas:helial: JAIDEO:SAMAD:CJ,,,,,,0.000,needs_review
CIE 1941,MAHMA:VAI:ARIOQAI lar:dia:camei:lar:disa:la,MAHMA:VAI:ARIOQAI lar:dia:camei:lar:disa:la,,MAHMA VAI ARIOQAI lar dia camei lar disa la,,,,1.000,clean
CIE 3048,:LAIOI9MA:3:OHEI:IMYA9:8:OA,:LAIOI9MA:3:OHEI:IMYA9:8:OA,,,,,,0.000,ocr_failed
CIE 3051,HOVA9IMYA98:OA,HOVA9IMYA98:OA,,,,,,0.000,ocr_failed
CIE 3052,9A2OA9A 9819A8,9A2OA9A 9819A8,,,,,,0.000,ocr_failed
CIE 3053,AZV+A1·A1398·A1AO,AZV+A1·A1398·A1AO,,,,,,0.000,ocr_failed
CIE 3054,...AO A193O MV+A1,...AO A193O MV+A1,,,,,,0.000,ocr_failed
CIE 3055,·I Y8O·3JYH,·I Y8O·3JYH,,,,,,0.000,ocr_failed
CIE 3056,[JANIT+Z·O]:VJVO:OΛ,[JANIT+Z·O]:VJVO:OΛ,,,,,,0.000,ocr_failed
CIE 3057,:ΛO?Λ9:INVVO:VΛJ,:ΛO?Λ9:INVVO:VΛJ,,,,,,0.000,ocr_failed
CIE 3058,LARTHI·HOLLON·RAVE·IA,LARTHI·HOLLON·RAVE·IA,,LARTHI HOLLON RAVE IA,,,,1.000,clean
CIE 3059,MINVVE·INVAI·O19Λ,MINVVE·INVAI·O19Λ,,,,,,0.000,ocr_failed
8334,leviis,leviis,𐌋𐌄𐌅𐌉𐌉𐌔,leviis,with-mr-luciusleviusmr-,,,1.000,clean
CIE 1990,MAIRVOE:VECA,MAIRVOE:VECA,,MAIRVOE VECA,,,,1.000,clean
CIE 3060,EDΛ9V8:J:VΛ,EDΛ9V8:J:VΛ,,,,,,0.000,ocr_failed
CIE 3061,:JΛHIΛ):MVJΛ:3Λ9V9:JΛ1,:JΛHIΛ):MVJΛ:3Λ9V9:JΛ1,,,,,,0.000,ocr_failed
CIE 3062,HVΛN,HVΛN,,,,,,0.000,needs_review
CIE 3063,CN·PHISIVS·L·F,CN·PHISIVS·L·F,,CN PHISIVS L F,,,,1.000,clean
CIE 3064,Λ12ΛN8ΛN1IΛΛΛNΛO,Λ12ΛN8ΛN1IΛΛΛNΛO,,,,,,0.000,ocr_failed
CIE 3066,PHLVMINA. MINVMA·CHIIIT· Philumena | Minuma · Chei · f ·,PHLVMINA. MINVMA·CHIIIT· Philumena | Minuma · Chei · f ·,,PHLVMINA. MINVMA CHIIIT Philumena Minuma Chei f,,,,1.000,clean
CIE 3067,meinei·papaslisa·|·vl·titialc·sec,meinei·papaslisa·|·vl·titialc·sec,𐌌𐌄𐌉𐌍𐌄𐌉·𐌐𐌀𐌐𐌀𐌔𐌋𐌉𐌔𐌀·|·𐌅𐌋·𐌕𐌉𐌕𐌉𐌀𐌋𐌂·𐌔𐌄𐌂,meinei papaslisa vl titialc sec,,,,1.000,clean
CIE 3068,ƎNƜV+ V12A12 2A1A1 tutnei | spaspu | papas,eNmV+ V12A12 2A1A1 tutnei | spaspu | papas,,,,,,0.000,ocr_failed
CIE 3072,AƜI1I7·V93I·VA au·petru·vipinal,AmI1I7·V93I·VA au·petru·vipinal,,,,,,0.000,ocr_failed
CIE 3073,A[I]IƜVƎ2 IV93[I]1 IANƜV+ secunia | petrui | tutnal,A[I]ImVe2 IV93[I]1 IANmV+ secunia | petrui | tutnal,,,,,,0.000,ocr_failed
CIE 3074,INTVAI:MIN8JA:8IVA,INTVAI:MIN8JA:8IVA,,,,,,0.000,ocr_failed
8340,cvando,cvando,𐌂𐌅𐌀𐌍𐌃𐌏,cvando,mr-larscotenamr-larsssongeneralaccording,,,1.000,clean
CIE 3075,8IN8JA:8V8E:IH+VAI:8DIMYIJT,8IN8JA:8V8E:IH+VAI:8DIMYIJT,,,,,,0.000,ocr_failed
12787,puia,puia,𐌐𐌖𐌉𐌀,puia,,,,1.000,clean
CIE 3076,INTYAI:MIN8JA:8IHHAA,INTYAI:MIN8JA:8IHHAA,,,,,,0.000,ocr_failed
ETP 66,zureθ,zureθ,𐌆𐌖𐌓𐌄𐌈,zureθ,,600.0,550.0,1.000,clean
CIE 3270,𐌍𐌉𐌂𐌉𐌀,...nicia...,...𐌍𐌉𐌂𐌉𐌀...,...nicia...,,,,1.000,clean
CIE 3077,AOMAQ,AOMAQ,,AOMAQ,,,,1.000,clean
CIE 3078,M8JIH+H37:AOIN+VAI:AOMAQ,M8JIH+H37:AOIN+VAI:AOMAQ,,,,,,0.000,ocr_failed
CIE 3079,YAN+X8O+AOIN+VAI+JAI+AIA2,YAN+X8O+AOIN+VAI+JAI+AIA2,,,,,,0.000,ocr_failed
CIE 3080,YAMAO+VD2E8IH+AOIN+VAI:M,YAMAO+VD2E8IH+AOIN+VAI:M,,,,,,0.000,ocr_failed
CIE 3081,ATYV237I:IJ8H:IOAV,ATYV237I:IJ8H:IOAV,,,,,,0.000,ocr_failed
CIE 3082,LANIJAS AINAS,LANIJAS AINAS,,,,,,0.000,needs_review
CIE 3083,ATVAJ ATIT INATV M AINAS AINAS,ATVAJ ATIT INATV M AINAS AINAS,,,,,,0.000,needs_review
CIE 1975,𐌂𐌄𐌉𐌂𐌍𐌄𐌉,ceicnei,𐌂𐌄𐌉𐌂𐌍𐌄𐌉,ceicnei,,,,1.000,clean
CIE 1976,𐌀𐌜𐌄𐌉𐌍𐌀𐌔𐌀𐌐𐌉𐌍𐌉𐌀𐌔,aθ ceina | sapinias,𐌀𐌈 𐌂𐌄𐌉𐌍𐌀 | 𐌔𐌀𐌐𐌉𐌍𐌉𐌀𐌔,aθ ceina sapinias,,,,1.000,clean
CIE 1977,𐌋𐌀𐌜𐌉𐌋𐌀𐌓𐌉𐌔𐌀𐌋𐌕𐌉𐌕𐌉𐌀𐌋,laθi : larisal : titial,𐌋𐌀𐌈𐌉 : 𐌋𐌀𐌓𐌉𐌔𐌀𐌋 : 𐌕𐌉𐌕𐌉𐌀𐌋,laθi larisal titial,,,,1.000,clean
CIE 2162,VAAAINVATA8AAAO,VAAAINVATA8AAAO,,,,,,0.000,ocr_failed
CIE 3084,MVJ37:J3:JNIJ:ANAO,MVJ37:J3:JNIJ:ANAO,,,,,,0.000,ocr_failed
CIE 3085,IM3VM:J3NIJ:D...,IM3VM:J3NIJ:D...,,,,,,0.000,ocr_failed
CIE 3086,INTRAJ:JATVAIJ:JATVAIJ,INTRAJ:JATVAIJ:JATVAIJ,,,,,,0.000,needs_review
CIE 3087,INHAAJ..... MEJNI.....,INHAAJ..... MEJNI.....,,,,,,0.000,needs_review
CIE 3088,J3CVHA:J3:HADEJ:J:DINHVAJ,J3CVHA:J3:HADEJ:J:DINHVAJ,,,,,,0.000,ocr_failed
ETP 364,[---]m[u]lu[---],[---]m[u]lu[---],[---]𐌌[𐌖]𐌋𐌖[---],,,600.0,600.0,0.000,clean
CIE 3089,2.9.IMHVAJ.A:J3I,2.9.IMHVAJ.A:J3I,,,,,,0.000,ocr_failed
CIE 3090,JAONJA I93H3:IMHVAJ,JAONJA I93H3:IMHVAJ,,,,,,0.000,ocr_failed
CIE 3091,JAθI·A·L·FNE·VEC·SA·L·VINAL,LAθI·A[L]FNE·VEC[USA·]SAL[VINAL],,LAθI,,,,0.250,clean
CIE 3092,·:Aθ·NA··········IθU·LARθI····,ARNθNA·IθU·LARθI,,ARNθNA IθU LARθI,,,,1.000,clean
CIE 3093,···VEL·ATINI,VEL·ATINI,,VEL ATINI,,,,1.000,clean
CIE 3094,····AINOVI····VADAN,AINOVI·VADAN,,AINOVI VADAN,,,,1.000,clean
CIE 3095,···VE·SIA·PLANTAL,VE[SI]A·PLAN[TAL],,,,,,0.000,clean
CIE 3096,ARNθ·CA(E),ARNθ·CA(E),,ARNθ,,,,0.500,clean
CIE 3097,Lθ·CAÇ,Lθ·CAc,𐌋𐌈·𐌂𐌀𐌂,Lθ CAc,,,,1.000,clean
CIE 3098,[ID·IθU·LARθI] [···CI·LE],LARθI·CI·LE,,LARθI CI LE,,,,1.000,clean
CIE 3099,LθI·CRACA,LθI·CRACA,,LθI CRACA,,,,1.000,clean
CIE 31,J11T·J19·2J·J1R17V2·V011,J11T·J19·2J·J1R17V2·V011,,,,,,0.000,ocr_failed
CIE 3100,CRE·CA,CRE·CA,,CRE CA,,,,1.000,clean
CIE 3101,[···ARNθI·CR···],ARNθI·CR[EI]C[LE],,ARNθI,,,,0.500,clean
